Unnamed: 0,brand,model,price,engine,year,mileage,fuel,gearbox,location,car_age,price_per_km,brand_classification,log_price,log_mileage
0,SEAT,Ibiza,8990,SC 1.2 TSI 90cv Style,2016,67000,Gasolina,Manual,Granollers,9,0.13417910447761194,economy,9.103979355984773,11.112462823634855
1,Hyundai,i30,9990,1.6 CRDi 110cv Tecno,2014,104868,Diésel,Manual,Viladecans,11,0.09526261585993821,economy,9.209439966733019,11.560467231167463
2,BMW,Serie 5,13490,530d Touring,2011,137566,Diésel,Automatica,Viladecans,14,0.09806202113894422,luxury,9.509778075438817,11.831866350137231
3,Volkswagen,Golf,24990,GTI 2.0 TSI 169kW (230CV),2018,44495,Gasolina,Manual,Viladecans,7,0.5616361388920104,economy,10.126271039034782,10.703154576473747
4,Opel,Corsa,10460,1.4 Expression 90 CV,2016,69800,Gasolina,Manual,Sabadell 1,9,0.1498567335243553,economy,9.25540933534376,11.153403615295403
5,SEAT,Ibiza,8490,SC 1.2 TSI 105cv FR,2014,114295,Gasolina,Manual,Granollers,11,0.07428146463099873,economy,9.046762057999363,11.646546853544994
7,Kia,Sportage,14990,1.6 GDi 97kW (132CV) Basic 4x2,2017,81999,Gasolina,Manual,Gavá,8,0.18280710740374884,economy,9.615205300012315,11.31447452624639
9,SEAT,Leon,21990,1.5 eTSI 110kW DSG-7 S&S Xcellence Go M,2020,18999,Híbrido,Automatica,Gavá,5,1.1574293383862309,economy,9.998388557730847,9.852194258148577
12,BMW,Serie 1,25490,118i,2019,27985,Gasolina,Automatica,Mataró,6,0.9108450955869216,luxury,10.14608072767165,10.239459664115659
13,SEAT,Leon,23990,2.0 TSI 221kW (300CV) DSG-6 St&Sp CUPRA,2018,40250,Gasolina,Automatica,Mataró,7,0.5960248447204969,economy,10.085434038999999,10.602890127258581
14,Ford,Focus,14490,1.0 Ecoboost 92kW ST-Line,2019,99958,Gasolina,Manual,Mataró,6,0.14496088357109987,economy,9.581283046045924,11.512515380897247
16,Toyota,C-HR,17990,1.8 125H Advance,2018,66000,Híbrido,Automatica,Mataró,7,0.2725757575757576,economy,9.79762691183662,11.097425172408931
17,Toyota,Yaris,12990,1.5 110 Active Tech,2019,26073,Gasolina,Manual,Mataró,6,0.49821654585203085,economy,9.472012088995733,10.168693928222723
18,Hyundai,i30,13490,1.0 TGDI Link Fastback,2018,69317,Gasolina,Manual,Mataró,7,0.19461315406033153,economy,9.509778075438817,11.146459891711073
19,Volkswagen,Touran,18490,Edition 1.6 TDI CR 115CV BMT,2016,46993,Diésel,Manual,Sabadell 2,9,0.3934628561700679,economy,9.825039406206987,10.75777521296855
